省份,性别,年龄,金额
广东,0,20,300.81
陕西,1,20,300.44
浙江,0,20,200
河南,1,20,2
福建,1,20,200
吉林,0,20,200
浙江,1,20,200
福建,0,20,200
河北,1,20,1
福建,0,20,2
福建,0,20,0
陕西,1,20,151
北京,0,20,143
山东,1,20,231.48
贵州,0,20,0
天津,1,20,1
吉林,0,20,0
湖北,0,20,132
浙江,1,20,1
浙江,0,20,152
广东,0,20,121
湖北,1,20,0
浙江,0,20,212
福建,0,20,105
福建,1,20,102
山西,1,20,201.81
广东,1,20,701.81
浙江,1,20,200.81
贵州,1,20,100
天津,1,20,0
河南,1,20,100
湖北,0,20,100
浙江,0,20,100
广东,1,20,100
广东,1,20,0
上海,1,20,0
甘肃,1,20,100
山东,0,20,0
四川,0,20,1
北京,1,20,201
湖北,0,20,100
安徽,1,20,100
湖南,1,20,100
湖北,1,20,200
四川,0,20,100
福建,1,20,106
浙江,1,20,100
河北,0,20,0
河南,1,20,100
福建,1,20,100
北京,1,20,100
山西,0,20,0
广东,0,20,100
广东,1,20,99
天津,0,20,0
河北,1,20,0
北京,1,20,0
天津,1,20,3
浙江,0,20,1
河南,0,20,1
广东,1,20,64
河南,1,20,33
广西,1,20,34
广东,1,20,1
湖北,0,20,1
广东,1,20,34
福建,1,20,0
河南,1,20,34
山东,0,20,20
福建,1,20,21
福建,1,20,18
北京,1,20,15
安徽,0,20,0
重庆,1,20,12
上海,1,20,10
河北,0,20,10
四川,0,20,10
河北,1,20,13
黑龙江,1,20,0
山东,1,20,10
广东,0,20,0
安徽,1,20,10
山东,0,20,10
江西,1,20,0
江西,1,20,7
福建,1,20,0
浙江,0,20,5.19
山东,1,20,5
福建,1,20,7
江苏,0,20,0
四川,0,20,7
重庆,1,20,5
海南,1,20,5
山东,1,20,5
湖南,1,20,5
山东,1,20,5
广西,0,20,6
广东,1,20,0
湖北,1,20,105
吉林,0,20,4
山西,1,20,2.2
安徽,1,20,2
湖北,1,20,2
甘肃,1,20,0
江西,1,20,2
浙江,1,20,2
四川,1,20,3
河南,1,20,2
湖南,1,20,2
云南,0,20,2
贵州,1,20,2
陕西,0,20,2
上海,0,20,2
四川,0,20,4
重庆,0,20,5
江苏,0,20,2
天津,0,20,2
贵州,0,20,2
山西,1,20,4
四川,1,20,0
福建,1,20,15
湖北,1,20,2
陕西,0,20,0
上海,1,20,2
广东,0,20,0
山西,1,20,2
